product_id,image_url,sort_order
11031,https://storage.yandexcloud.net/mysakura/176491123341_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,9
11065,https://storage.yandexcloud.net/mysakura/0000_22_396_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,0
11065,https://storage.yandexcloud.net/mysakura/0000_23_437_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,1
11065,https://storage.yandexcloud.net/mysakura/0000_24_488_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,2
11065,https://storage.yandexcloud.net/mysakura/158976622746_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,3
11065,https://storage.yandexcloud.net/mysakura/169145648869_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,4
11065,https://storage.yandexcloud.net/mysakura/169146826444_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,5
11065,https://storage.yandexcloud.net/mysakura/172619646635_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,6
11065,https://storage.yandexcloud.net/mysakura/172913505136_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,7
11065,https://storage.yandexcloud.net/mysakura/174365855899_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,8
11074,https://storage.yandexcloud.net/mysakura/170183940592_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,0
11074,https://storage.yandexcloud.net/mysakura/170685688176_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,1
11074,https://storage.yandexcloud.net/mysakura/17241350788_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,2
11074,https://storage.yandexcloud.net/mysakura/174599881316_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,3
11074,https://storage.yandexcloud.net/mysakura/175679198951_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,4
11074,https://storage.yandexcloud.net/mysakura/175817755179_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,5
